rle,xup,yup,yxxup,xlo,ylo,yxxlo,alpha_te,beta_te,CL,CD,CM
0.007956875,0.409509375,0.053563281,-0.460980469,0.370279688,-0.055678906,0.582087969,-0.103275313,0.140681563,0.654110842,0.002494474,0.070427689
0.006596875,0.496149375,0.066143281,-0.376080469,0.297919688,-0.067458906,0.723467969,-0.125795313,0.173601563,0.811008653,0.005081981,0.136073226
0.006639375,0.358066875,0.058673906,-0.442408594,0.399675938,-0.051629531,0.621851094,-0.098349063,0.143767813,0.707378485,0.010027372,0.086133925
0.007999375,0.444706875,0.071253906,-0.357508594,0.327315938,-0.063409531,0.763231094,-0.120869063,0.176687813,0.912109341,0.018280744,0.171924464
0.008679375,0.401386875,0.064963906,-0.484858594,0.291135938,-0.057519531,0.833921094,-0.109609063,0.160227813,0.846079349,0.014403354,0.140289745
0.007319375,0.488026875,0.052383906,-0.399958594,0.363495938,-0.069299531,0.692541094,-0.132129063,0.193147813,0.648428248,0.005472528,0.087154643
0.007659375,0.423046875,0.074398906,-0.463633594,0.309225938,-0.066354531,0.586506094,-0.115239063,0.135537813,0.768612283,0.018229764,0.133964904
0.009019375,0.509686875,0.061818906,-0.378733594,0.381585938,-0.054574531,0.727886094,-0.092719063,0.168457813,0.848252609,0.004694818,0.121265641
0.008339375,0.379726875,0.055528906,-0.506083594,0.417765938,-0.060464531,0.798576094,-0.126499063,0.151997813,0.679264399,0.004000774,0.072312606
0.006979375,0.466366875,0.068108906,-0.421183594,0.345405938,-0.048684531,0.657196094,-0.103979063,0.184917813,0.934775453,0.014103799,0.169755738
0.007149375,0.390556875,0.050811406,-0.368121094,0.336360938,-0.047212031,0.604178594,-0.129314063,0.139652813,0.799370591,0.005708378,0.104812909
0.008509375,0.477196875,0.063391406,-0.453021094,0.408720938,-0.058992031,0.745558594,-0.106794063,0.172572813,0.806259093,0.003713938,0.113510823
0.009189375,0.347236875,0.069681406,-0.410571094,0.372540938,-0.053102031,0.816248594,-0.118054063,0.156112813,0.959524038,0.029141015,0.169849858
0.007829375,0.433876875,0.057101406,-0.495471094,0.300180938,-0.064882031,0.674868594,-0.095534063,0.189032813,0.590300795,0.003355214,0.071295897
0.007489375,0.368896875,0.066536406,-0.346896094,0.390630938,-0.067827031,0.568833594,-0.112424063,0.147882813,0.721482895,0.014048568,0.100367645
0.008849375,0.455536875,0.053956406,-0.431796094,0.318270938,-0.056047031,0.710213594,-0.134944063,0.180802813,0.833875919,0.005381648,0.116113385
0.008169375,0.412216875,0.060246406,-0.389346094,0.354450938,-0.061937031,0.780903594,-0.101164063,0.164342813,0.742998185,0.005744331,0.100959046
0.006809375,0.498856875,0.072826406,-0.474246094,0.426810938,-0.050157031,0.639523594,-0.123684063,0.197262813,0.939741753,0.017445063,0.180046986
0.006724375,0.417631875,0.064177656,-0.500777344,0.368018438,-0.056783281,0.772067344,-0.133536563,0.191090313,0.846744581,0.014174929,0.144027879
0.008084375,0.504271875,0.051597656,-0.415877344,0.295658438,-0.068563281,0.630687344,-0.111016563,0.158170313,0.540204067,0.005889322,0.064495986
0.008764375,0.374311875,0.057887656,-0.458327344,0.331838438,-0.050893281,0.701377344,-0.122276563,0.174630313,0.823165559,0.010522613,0.11638711
0.007404375,0.460951875,0.070467656,-0.373427344,0.404198438,-0.062673281,0.842757344,-0.099756563,0.141710313,0.843054893,0.012392535,0.141068246
0.007744375,0.352651875,0.054742656,-0.479552344,0.349928438,-0.059728281,0.736722344,-0.105386563,0.182860313,0.664542688,0.006492872,0.076851385
0.009104375,0.439291875,0.067322656,-0.394652344,0.422288438,-0.047948281,0.595342344,-0.127906563,0.149940313,0.919262982,0.013443478,0.148269235
0.008424375,0.395971875,0.073612656,-0.437102344,0.386108438,-0.065618281,0.666032344,-0.094126563,0.166400313,0.758781979,0.018587591,0.11959473
0.007064375,0.482611875,0.061032656,-0.352202344,0.313748438,-0.053838281,0.807412344,-0.116646563,0.133480313,0.941549155,0.006586075,0.156910309
0.006894375,0.385141875,0.072040156,-0.384039844,0.304703438,-0.055310781,0.754394844,-0.091311563,0.186975313,0.896986618,0.024747369,0.165149897
0.008254375,0.471781875,0.059460156,-0.468939844,0.377063438,-0.067090781,0.613014844,-0.113831563,0.154055313,0.666373951,0.004272663,0.088832835
